connections,pipelining,duration,workers,HelloWorld,EventsCreate,EventsGet
1,1,2,1,14560,171,160
1,1,2,2,17444,294,325
1,1,2,3,24816,380,383
1,2,2,1,25746,316,314
1,2,2,2,27181,396,402
1,2,2,3,29069,366,400
1,3,2,1,27302,392,366
1,3,2,2,31005,390,374
1,3,2,3,27265,392,392
3,1,2,1,25584,396,364
3,1,2,2,24663,348,306
3,1,2,3,22967,393,355
3,2,2,1,29898,443,363
3,2,2,2,26182,364,406
3,2,2,3,26871,389,426
3,3,2,1,33154,385,365
3,3,2,2,23613,250,261
3,3,2,3,16418,285,350
5,1,2,1,21602,299,315
5,1,2,2,20213,237,266
5,1,2,3,22536,269,286
5,2,2,1,29793,281,300
5,2,2,2,29737,305,306
5,2,2,3,29043,304,327
5,3,2,1,34372,346,313
5,3,2,2,32262,291,276
5,3,2,3,28749,272,389
